entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda,vsv_beta,is_verbose
11532,Y2KR0C5ysO8o,No,No,popular,True,0.05,0.2,False
18680,YTgxst7Ft9js,Yes,Yes,random,True,0.05,0.2,False
5710,YYqYCDis3EUA,No,No,popular,True,0.05,0.2,False
25248,YSoO1HhaEc9Q,No,No,popular,True,0.05,0.2,False
23637,YyRoKi7rhSRo,No,Yes,adversarial,True,0.05,0.2,False
7011,YlmPMhs-9IYE,Yes,No,random,True,0.05,0.2,False
16425,YnD1K1Zo0qrM,No,No,popular,True,0.05,0.2,False
14222,YtxeXrpoMST4,No,No,adversarial,True,0.05,0.2,False
9798,Y3ghVB-KaU_E,Yes,Yes,popular,True,0.05,0.2,False
4753,Y_iUX8CibElk,No,No,popular,True,0.05,0.2,False
14397,Y4pf-PIymDhU,No,No,random,True,0.05,0.2,False
14326,YGkb4f6yodPE,Yes,Yes,popular,True,0.05,0.2,False
9758,YrjUrB1WUpcI,Yes,Yes,random,True,0.05,0.2,False
25321,Yyau2WIRkxb8,No,No,popular,True,0.05,0.2,False
19638,YkXjzsroVTtw,Yes,Yes,popular,True,0.05,0.2,False
28066,YmW1EpJYcy_E,Yes,Yes,random,True,0.05,0.2,False
29349,YE9zN3-C64KE,Yes,Yes,random,True,0.05,0.2,False
1363,YCM49C3RkzV8,Yes,Yes,popular,True,0.05,0.2,False
7439,Ynq0BF9zGkzg,No,No,adversarial,True,0.05,0.2,False
30167,YXWw7ZM1c_QA,Yes,Yes,popular,True,0.05,0.2,False
28459,YlgwpIImXCWA,Yes,No,popular,True,0.05,0.2,False
26125,YEfk5kdn9lR8,No,No,adversarial,True,0.05,0.2,False
10384,YPg2cWEnEEvc,No,No,popular,True,0.05,0.2,False
13490,YrPkCYq4Zjwk,No,Yes,popular,True,0.05,0.2,False
18602,YSZ6CcXINiiE,Yes,Yes,random,True,0.05,0.2,False
20871,Y-BUWGM7qeUM,No,No,popular,True,0.05,0.2,False
15625,YKSHpYhuTotY,No,No,popular,True,0.05,0.2,False
18641,YbQNX7vDalQw,No,Yes,adversarial,True,0.05,0.2,False
18923,YIsUG5SKWNZA,No,Yes,random,True,0.05,0.2,False
24039,Y9z2OwpftxUE,No,No,popular,True,0.05,0.2,False
14063,YgwQMkQmBITE,Yes,Yes,adversarial,True,0.05,0.2,False
9368,Yh0M4RS8p_mo,Yes,No,adversarial,True,0.05,0.2,False
20634,Ym_U506sf9p4,Yes,Yes,random,True,0.05,0.2,False
15054,YVOXl8iR-HnI,Yes,No,popular,True,0.05,0.2,False
27441,Y8ycflE3dIHw,No,Yes,adversarial,True,0.05,0.2,False
14945,YvruDH_YLaPI,No,No,random,True,0.05,0.2,False
18130,YY3lNEe-ZGF0,No,No,random,True,0.05,0.2,False
4124,YVQnmlf2OsUg,Yes,No,adversarial,True,0.05,0.2,False
19141,YZ3wDry8nnJs,Yes,Yes,popular,True,0.05,0.2,False
3328,YxBZnvfniA1c,No,Yes,adversarial,True,0.05,0.2,False
27274,Y3qTL7QRk-tg,No,No,popular,True,0.05,0.2,False
10356,YLxu-3_h4kc4,Yes,Yes,random,True,0.05,0.2,False
25921,Yn-JyOqYSLQM,No,No,adversarial,True,0.05,0.2,False
17128,Yg6CY7qvu81k,Yes,Yes,random,True,0.05,0.2,False
25387,YZTYAQBnU4GM,No,Yes,random,True,0.05,0.2,False
27542,Y1IoHRTUp86c,No,Yes,adversarial,True,0.05,0.2,False
10322,Y9BukzlPNqC8,No,No,popular,True,0.05,0.2,False
274,YfsBR7e_X_0Y,No,No,adversarial,True,0.05,0.2,False
26814,YMkbP_8zJwXU,No,No,adversarial,True,0.05,0.2,False
17699,Y2a6GNu6uCDE,Yes,Yes,adversarial,True,0.05,0.2,False
27674,YcFoXRmGgIME,Yes,Yes,random,True,0.05,0.2,False
6668,Yu8bQf0SnCVI,No,No,random,True,0.05,0.2,False
18665,YzwoqJY03yHE,No,Yes,popular,True,0.05,0.2,False
27332,YB3O476LeuXY,No,No,popular,True,0.05,0.2,False
8809,Yf2fSxfvmkZQ,No,Yes,popular,True,0.05,0.2,False
24252,Y9vZDsGjyh5M,Yes,No,popular,True,0.05,0.2,False
11683,Y5iTRKJqUIw8,Yes,No,random,True,0.05,0.2,False
18109,YeRU-rABp8nk,Yes,Yes,adversarial,True,0.05,0.2,False
14895,YVOXl8iR-HnI,Yes,No,adversarial,True,0.05,0.2,False
14864,Y1Uh74_rZ72k,Yes,Yes,random,True,0.05,0.2,False
17853,YzF3xXn6NTyU,No,Yes,adversarial,True,0.05,0.2,False
2223,YD9tinq3RMpU,Yes,Yes,random,True,0.05,0.2,False
19470,Y8Zo30kV5aiI,Yes,Yes,random,True,0.05,0.2,False
105,YYQSuFyFm3Lc,No,Yes,random,True,0.05,0.2,False
19783,Y8VOibo9Q_Dc,Yes,No,adversarial,True,0.05,0.2,False
5598,YRp4Ct_TQvAM,Yes,Yes,adversarial,True,0.05,0.2,False
6796,Ya_Rjlu50TfA,Yes,Yes,random,True,0.05,0.2,False
20113,Y3XcIVh40pTI,No,No,popular,True,0.05,0.2,False
17561,Yek9Fsmm3xqk,No,No,adversarial,True,0.05,0.2,False
11143,YYflmW68gL4E,Yes,Yes,popular,True,0.05,0.2,False
2748,Yc0V_HAul7rI,Yes,Yes,popular,True,0.05,0.2,False
17140,YIFRmbxWK8u0,Yes,No,adversarial,True,0.05,0.2,False
5811,YGuizRlAQ8qQ,No,No,random,True,0.05,0.2,False
5636,YbygBWUkpaC8,Yes,Yes,random,True,0.05,0.2,False
23910,YW4GEwnXc9tQ,Yes,No,adversarial,True,0.05,0.2,False
22726,YAj_VMUSNjNM,Yes,Yes,popular,True,0.05,0.2,False
13404,Ye9MWXS34o48,Yes,Yes,random,True,0.05,0.2,False
23581,YmVjub3o_IxE,No,Yes,random,True,0.05,0.2,False
20395,YFf8bCCJfVX4,No,Yes,random,True,0.05,0.2,False
4986,YzIgGMlZENTs,Yes,No,random,True,0.05,0.2,False
20354,YAxd__X2rixk,Yes,Yes,adversarial,True,0.05,0.2,False
19352,YmUGmCSNETcg,No,Yes,random,True,0.05,0.2,False
26150,Yp9qRTh4BmSE,Yes,Yes,random,True,0.05,0.2,False
1324,YCM49C3RkzV8,Yes,Yes,adversarial,True,0.05,0.2,False
9799,Yir1XTdyt4IY,Yes,No,adversarial,True,0.05,0.2,False
15596,Y1Uh74_rZ72k,Yes,Yes,popular,True,0.05,0.2,False
23149,Y0_K6OKtoBBU,No,Yes,random,True,0.05,0.2,False
21468,YFXdoNvmrYxo,Yes,No,adversarial,True,0.05,0.2,False
19055,YWCYfCfW9NA0,Yes,Yes,popular,True,0.05,0.2,False
9657,YnlC4UI4hZ60,No,Yes,popular,True,0.05,0.2,False
4478,Y2JutOgAnqWA,Yes,Yes,random,True,0.05,0.2,False
27894,YOt0bN_hz2ec,Yes,No,adversarial,True,0.05,0.2,False
7881,YOTLtzk0W4zg,No,Yes,adversarial,True,0.05,0.2,False
27434,YK-7Y8yhcUiw,Yes,Yes,random,True,0.05,0.2,False
9738,YawxrHOpt-sE,Yes,No,adversarial,True,0.05,0.2,False
20502,Yk4XyfaWVLEY,Yes,Yes,popular,True,0.05,0.2,False
15568,YpCQEWAFGEjc,No,No,random,True,0.05,0.2,False
11636,YRfGapDlAYoQ,No,No,adversarial,True,0.05,0.2,False
28466,YlrKGCtSsAkA,Yes,Yes,random,True,0.05,0.2,False
4591,Yh5_1pnkl_SY,No,No,popular,True,0.05,0.2,False
15257,Yazh_-OkQ-uI,Yes,No,adversarial,True,0.05,0.2,False
22192,Y67BsqRkh-dU,No,No,random,True,0.05,0.2,False
23073,Y9z2OwpftxUE,No,No,random,True,0.05,0.2,False
23213,YGE1aZSnPr2Q,No,Yes,popular,True,0.05,0.2,False
7901,Yj0KvrVE_Oww,Yes,No,random,True,0.05,0.2,False
1842,YYEYeQ0lIkBQ,Yes,No,adversarial,True,0.05,0.2,False
13624,YBvw2gv1fcZw,Yes,Yes,popular,True,0.05,0.2,False
9850,YawxrHOpt-sE,Yes,No,popular,True,0.05,0.2,False
20795,YKJKHDKKW3XU,Yes,No,popular,True,0.05,0.2,False
10319,YAKHZMg9ba30,Yes,Yes,random,True,0.05,0.2,True
9381,YawxrHOpt-sE,Yes,Yes,random,True,0.05,0.2,False
14735,Y-aYumc8KoXg,No,No,adversarial,True,0.05,0.2,False
21930,YL6rnV0oNIII,Yes,No,adversarial,True,0.05,0.2,False
14145,Y3kBlVLkN0zo,No,Yes,adversarial,True,0.05,0.2,False
25144,YgkWd1HugK2w,No,No,popular,True,0.05,0.2,False
21639,YRk-ujWKzPuc,No,Yes,random,True,0.05,0.2,False
28152,YtNxfdAd14qE,No,Yes,adversarial,True,0.05,0.2,False
20278,YAgh2EKINlSw,No,Yes,adversarial,True,0.05,0.2,False
26026,YEUZaxaWqhwg,Yes,Yes,adversarial,True,0.05,0.2,False
13039,YNeZerAPXR-A,No,No,adversarial,True,0.05,0.2,False
10346,Y8OTd45_6cvY,Yes,No,popular,True,0.05,0.2,False
515,YPLHXGDnig4M,Yes,Yes,random,True,0.05,0.2,True
30037,Yii3Geza3hAU,Yes,Yes,popular,True,0.05,0.2,False
11850,YWHRnyGXcdy8,Yes,No,adversarial,True,0.05,0.2,False
12382,Y6TO9PEGpZcQ,Yes,Yes,random,True,0.05,0.2,False
10074,YXZTt1xdK8uQ,Yes,Yes,random,True,0.05,0.2,False
1392,Y0jGH7A_hpBM,Yes,Yes,random,True,0.05,0.2,False
13229,Y1N_DtRpdAp8,No,No,popular,True,0.05,0.2,False
20762,Y9dLLsZVRSZI,No,No,popular,True,0.05,0.2,False
14211,YhxbmDeNSO6Q,Yes,Yes,random,True,0.05,0.2,False
21085,YuY4fe5DT1gI,Yes,Yes,popular,True,0.05,0.2,False
29568,Y7upINC4seBw,No,Yes,random,True,0.05,0.2,False
7724,Y5eSRL3PRHzo,Yes,Yes,random,True,0.05,0.2,False
29602,YlrKGCtSsAkA,Yes,No,popular,True,0.05,0.2,False
14697,YhpDltmawxIM,No,Yes,random,True,0.05,0.2,False
27874,YeYbFtxZmKL4,Yes,Yes,popular,True,0.05,0.2,False
31290,YeXj9OAik5cc,Yes,No,popular,True,0.05,0.2,False
297,YtjCNwdOUiGc,Yes,Yes,adversarial,True,0.05,0.2,False
2758,YAbplcXwXnvE,Yes,Yes,adversarial,True,0.05,0.2,False
11765,YkgjNIDmO8a8,Yes,Yes,adversarial,True,0.05,0.2,False
10989,YOr7umk40TZA,No,No,popular,True,0.05,0.2,False
30869,YoN0IcZaHD_8,No,No,adversarial,True,0.05,0.2,False
9427,Yz4MeV9IGVo0,No,Yes,adversarial,True,0.05,0.2,False
29109,Y-mhFGevxLUg,No,No,popular,True,0.05,0.2,False
3457,YalaxBd_EEUc,No,No,adversarial,True,0.05,0.2,False
6434,YyhDw7PZje3g,No,No,adversarial,True,0.05,0.2,False
18323,YTd2EEDdFlRY,No,Yes,popular,True,0.05,0.2,False
11003,YyVjivgsU2aA,No,No,random,True,0.05,0.2,False
3007,Yhrv6fwnmBkY,Yes,Yes,popular,True,0.05,0.2,False
16171,Y4abZbau8tZo,Yes,Yes,popular,True,0.05,0.2,False
24726,Y3Sml1wHcuxo,No,Yes,adversarial,True,0.05,0.2,False
22164,YsI7_ycEYzAY,No,No,popular,True,0.05,0.2,False
21897,Y8IdCiapDYCU,Yes,No,popular,True,0.05,0.2,False
12201,YPkmpxrsidZM,No,Yes,random,True,0.05,0.2,False
29980,YbLZFtoWXYTA,Yes,No,popular,True,0.05,0.2,False
29741,Y9z8XIRyUq9Q,Yes,Yes,random,True,0.05,0.2,False
19338,YESjMIqrvRj4,No,Yes,random,True,0.05,0.2,False
21651,YmWqH2xwjkYA,No,No,adversarial,True,0.05,0.2,False
15828,Y5G6b_QWL3nY,No,Yes,adversarial,True,0.05,0.2,False
7254,Ya_Rjlu50TfA,Yes,No,popular,True,0.05,0.2,False
28620,Y6ukYSXzfEgQ,Yes,No,popular,True,0.05,0.2,False
10103,YWOywdRmySs0,No,No,random,True,0.05,0.2,False
17445,YlTJLvSvjUZk,No,No,popular,True,0.05,0.2,False
15682,Y4fz0-Kx2oNs,Yes,Yes,random,True,0.05,0.2,False
22063,YkF1KWybdRpM,Yes,Yes,random,True,0.05,0.2,False
23093,Y0yETgW44MZU,Yes,Yes,popular,True,0.05,0.2,False
3437,YUCy1BEx8jBE,No,Yes,popular,True,0.05,0.2,False
23182,Y0Dt-pH0pW-Y,Yes,No,popular,True,0.05,0.2,False
18804,YwnqUgK_-fo4,Yes,No,popular,True,0.05,0.2,False
12903,YtIM-H2rdq8U,No,Yes,random,True,0.05,0.2,False
26301,YrvtA7c1I4xo,Yes,Yes,random,True,0.05,0.2,False
4537,YbX2vDaHL26U,No,Yes,random,True,0.05,0.2,False
22293,YCbe2B6ohBpw,No,Yes,popular,True,0.05,0.2,False
24317,Y0On6-JiVwRs,No,Yes,random,True,0.05,0.2,False
8819,YU90e2P9jy30,Yes,No,popular,True,0.05,0.2,False
8589,Y4xrL4TSgHwU,Yes,No,popular,True,0.05,0.2,False
6826,Y1DKLyH3FixM,No,No,random,True,0.05,0.2,False
21426,YwAZrOPvul4Y,Yes,No,popular,True,0.05,0.2,False
7386,YbmEF-c-M174,Yes,No,random,True,0.05,0.2,False
2577,YK03ydb1uaoQ,Yes,No,adversarial,True,0.05,0.2,False
13561,YlYhwCRX2wNc,No,Yes,adversarial,True,0.05,0.2,False
4293,YZYWCwfCkBp4,Yes,No,adversarial,True,0.05,0.2,False
27181,Yorgwzt45ojE,Yes,No,adversarial,True,0.05,0.2,False
13063,YMBP4RcnwGZw,No,No,random,True,0.05,0.2,False
5946,Y6OlHuvJR_Dk,No,Yes,popular,True,0.05,0.2,False
25816,YIKnx3hJv1bs,Yes,No,popular,True,0.05,0.2,False
2906,YL2dyilgQ8iM,No,No,adversarial,True,0.05,0.2,False
22395,YVkbp8VmL3pM,No,No,random,True,0.05,0.2,False
17460,YlfAFQ0-wDJU,Yes,Yes,popular,True,0.05,0.2,False
30599,YOFVzrakJhbw,Yes,No,popular,True,0.05,0.2,False
4014,Y9ucb5HYO8ps,Yes,Yes,random,True,0.05,0.2,False
5223,YzIgGMlZENTs,Yes,Yes,adversarial,True,0.05,0.2,False
16218,YVZLZ08k3YeA,No,No,adversarial,True,0.05,0.2,False
27346,Yp_BB_rJaF7Q,Yes,Yes,adversarial,True,0.05,0.2,False
8257,YHVz-FJBf_iM,Yes,No,popular,True,0.05,0.2,False
22727,YjinJkonlrWc,Yes,No,random,True,0.05,0.2,False
11576,YKel-hfZ_9h8,Yes,Yes,popular,True,0.05,0.2,False
18061,YwnqUgK_-fo4,Yes,No,random,True,0.05,0.2,False
19731,YIsUG5SKWNZA,No,Yes,popular,True,0.05,0.2,False
3186,Y-NsC63dA01g,No,Yes,adversarial,True,0.05,0.2,False
18035,YzF3xXn6NTyU,No,Yes,popular,True,0.05,0.2,False
20693,YhFCmq9pCBbM,Yes,Yes,adversarial,True,0.05,0.2,False
17889,Y2a6GNu6uCDE,Yes,Yes,popular,True,0.05,0.2,False
10681,YszkiW0GXEOI,Yes,Yes,random,True,0.05,0.2,False
26417,YqakN0JNbpcU,Yes,Yes,adversarial,True,0.05,0.2,False
20508,YP12nvSpKXcs,No,No,adversarial,True,0.05,0.2,False
11223,YUE3XnVFodMI,Yes,Yes,random,True,0.05,0.2,False
18317,YZ_smJ66Tb3c,No,Yes,adversarial,True,0.05,0.2,False
2871,YzEaGx6an4es,No,Yes,random,True,0.05,0.2,False
11381,Yr2djvq1vc68,Yes,Yes,random,True,0.05,0.2,False
25963,YZUmZgPL0ges,No,No,adversarial,True,0.05,0.2,False
26672,Yq1ivQ_2fddk,No,Yes,popular,True,0.05,0.2,False
