entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda,aad_enabled,aad_alpha
19511,Y5YzNSjmZ3Wg,No,No,popular,False,0.0,True,1.0
29617,YGGgQR7aIofY,Yes,Yes,adversarial,False,0.0,True,1.0
27874,YeYbFtxZmKL4,Yes,Yes,popular,False,0.0,True,1.0
10510,YYflmW68gL4E,Yes,Yes,random,False,0.0,True,1.0
27705,Y3hzy-FL24no,Yes,No,adversarial,False,0.0,True,1.0
9041,YLWng-4PDzPM,No,No,adversarial,False,0.0,True,1.0
18665,YzwoqJY03yHE,No,Yes,popular,False,0.0,True,1.0
8869,YzEM94PH29VQ,No,No,popular,False,0.0,True,1.0
5950,YFfUqv0Vv3ME,No,Yes,adversarial,False,0.0,True,1.0
702,YYQGW5AwDOIo,No,Yes,adversarial,False,0.0,True,1.0
21234,YaZAXO2WZn84,No,Yes,popular,False,0.0,True,1.0
14211,YhxbmDeNSO6Q,Yes,Yes,random,False,0.0,True,1.0
19038,YwSHzVxdMiTo,No,No,popular,False,0.0,True,1.0
23885,YHdxfbpnd2-8,No,Yes,random,False,0.0,True,1.0
5891,YWmDe2xbnSY4,Yes,Yes,random,False,0.0,True,1.0
16800,YemGPabOePzA,Yes,Yes,popular,False,0.0,True,1.0
4436,Y0NGSrwioYjA,No,No,adversarial,False,0.0,True,1.0
23681,Y7MLERaOgK_Y,No,Yes,adversarial,False,0.0,True,1.0
9866,YD1Sy7kRoaR8,Yes,Yes,adversarial,False,0.0,True,1.0
25789,YENTi8Sn4vdM,Yes,No,adversarial,False,0.0,True,1.0
17640,YrbO727iF03I,Yes,Yes,random,False,0.0,True,1.0
28867,YcN-oYKd-M4E,Yes,No,popular,False,0.0,True,1.0
13561,YlYhwCRX2wNc,No,Yes,adversarial,False,0.0,True,1.0
11409,YeUecAF626A8,No,Yes,popular,False,0.0,True,1.0
23769,YBOB65Nd0pXo,No,No,popular,False,0.0,True,1.0
27998,Y4sb9jN0SgTM,No,Yes,adversarial,False,0.0,True,1.0
5133,YgQMTOKsCIyk,No,Yes,adversarial,False,0.0,True,1.0
15911,Yoklu5ZJD_2U,No,Yes,adversarial,False,0.0,True,1.0
29846,YAf4a-9rcnP0,No,Yes,popular,False,0.0,True,1.0
26620,Y8ycflE3dIHw,No,No,random,False,0.0,True,1.0
22227,Y1HCuBnPLMqQ,Yes,Yes,random,False,0.0,True,1.0
2958,YOMGHnJV0l2U,Yes,Yes,random,False,0.0,True,1.0
27948,YTSdAJWJ-tW0,Yes,Yes,adversarial,False,0.0,True,1.0
11835,Yi1u_2eZYYlE,No,No,popular,False,0.0,True,1.0
28323,YUjje3lSabsg,No,No,random,False,0.0,True,1.0
18365,YrbO727iF03I,Yes,Yes,popular,False,0.0,True,1.0
14376,YtxeXrpoMST4,No,Yes,popular,False,0.0,True,1.0
26807,YHdPSebdDxe4,No,No,popular,False,0.0,True,1.0
6113,YO90Qy2xG6oA,Yes,No,popular,False,0.0,True,1.0
15330,Y-oy0BkpMGAk,Yes,Yes,random,False,0.0,True,1.0
28447,YvaujJ7msKfc,No,Yes,random,False,0.0,True,1.0
27651,Yv59uHr-B1no,No,Yes,adversarial,False,0.0,True,1.0
7284,YuJzAf4PaExI,No,Yes,adversarial,False,0.0,True,1.0
12425,YCYUlLTKoa1Y,No,Yes,adversarial,False,0.0,True,1.0
20700,Y9b6RqajfAmw,No,No,adversarial,False,0.0,True,1.0
30915,Y7P0N61TVOxE,No,Yes,popular,False,0.0,True,1.0
27652,YBz9Y5nZK3eo,Yes,Yes,adversarial,False,0.0,True,1.0
19877,YxpZna_FwDhI,Yes,Yes,random,False,0.0,True,1.0
21223,YsI7_ycEYzAY,No,Yes,random,False,0.0,True,1.0
4079,YNJEPbGVBJIQ,No,No,random,False,0.0,True,1.0
11003,YyVjivgsU2aA,No,No,random,False,0.0,True,1.0
28421,YD96OO7nYYsg,Yes,Yes,random,False,0.0,True,1.0
14758,YhxbmDeNSO6Q,Yes,No,adversarial,False,0.0,True,1.0
8663,YzBXoaQ1GVlc,Yes,No,adversarial,False,0.0,True,1.0
20276,Y9zstu_IfAm4,Yes,Yes,random,False,0.0,True,1.0
16495,YpWQeV08kYR0,Yes,Yes,popular,False,0.0,True,1.0
2289,Ybgbnu5YKTDg,Yes,Yes,popular,False,0.0,True,1.0
915,YqeSl7YZAfs4,Yes,Yes,random,False,0.0,True,1.0
15511,YpuZL08fzpXk,No,Yes,random,False,0.0,True,1.0
10106,Y7-HCqJFwHoI,Yes,Yes,adversarial,False,0.0,True,1.0
27276,Ysl_Pxpc7beo,Yes,Yes,popular,False,0.0,True,1.0
26497,Y54eRRbCtPn8,No,No,random,False,0.0,True,1.0
16024,YPO8Nu3F8mkA,No,No,random,False,0.0,True,1.0
21173,Y0qbHT34qTZE,No,Yes,adversarial,False,0.0,True,1.0
25246,Yy-RSojxgkDo,Yes,No,adversarial,False,0.0,True,1.0
28245,YTSdAJWJ-tW0,Yes,Yes,popular,False,0.0,True,1.0
8120,Y-EQByFLFqig,No,Yes,adversarial,False,0.0,True,1.0
7368,YlmPMhs-9IYE,Yes,Yes,adversarial,False,0.0,True,1.0
18393,YwOFBldBFRNk,No,Yes,random,False,0.0,True,1.0
10224,Ye4ph6bIC5zc,Yes,Yes,random,False,0.0,True,1.0
27829,Y1IoHRTUp86c,No,Yes,popular,False,0.0,True,1.0
741,YMe4npKmtchA,Yes,Yes,adversarial,False,0.0,True,1.0
1268,YztSjcZNUY7A,Yes,Yes,adversarial,False,0.0,True,1.0
7088,Yvigslb0kClE,Yes,Yes,random,False,0.0,True,1.0
7509,YZsf2YvJfCKw,Yes,No,popular,False,0.0,True,1.0
22395,YVkbp8VmL3pM,No,No,random,False,0.0,True,1.0
5662,YRp4Ct_TQvAM,Yes,Yes,popular,False,0.0,True,1.0
3613,Y41D0yXSBqfI,Yes,No,popular,False,0.0,True,1.0
20762,Y9dLLsZVRSZI,No,No,popular,False,0.0,True,1.0
18257,YRrmBGjJqlEo,No,Yes,adversarial,False,0.0,True,1.0
16789,YI_vN_BFUr0Y,No,Yes,adversarial,False,0.0,True,1.0
29100,Yo3mZR8OvPko,No,No,random,False,0.0,True,1.0
16133,YECw5Yf7QoMo,No,Yes,popular,False,0.0,True,1.0
26749,Y1IoHRTUp86c,No,Yes,random,False,0.0,True,1.0
2356,YpI_kPedctoo,Yes,No,popular,False,0.0,True,1.0
22727,YjinJkonlrWc,Yes,No,random,False,0.0,True,1.0
12619,YrN2rpLV3brs,No,Yes,random,False,0.0,True,1.0
16036,Y-oy0BkpMGAk,Yes,Yes,popular,False,0.0,True,1.0
8809,Yf2fSxfvmkZQ,No,No,popular,False,0.0,True,1.0
14196,YGkb4f6yodPE,Yes,No,adversarial,False,0.0,True,1.0
16080,YpCQEWAFGEjc,No,Yes,adversarial,False,0.0,True,1.0
6395,Ybpv_LneHmfU,No,Yes,random,False,0.0,True,1.0
6291,Y11SEBDuoqSk,Yes,Yes,random,False,0.0,True,1.0
297,YtjCNwdOUiGc,Yes,Yes,adversarial,False,0.0,True,1.0
12297,Y_GI7meqlYZk,No,Yes,adversarial,False,0.0,True,1.0
17862,YUXGzbBGbqAA,Yes,No,adversarial,False,0.0,True,1.0
20141,YuY4fe5DT1gI,Yes,Yes,random,False,0.0,True,1.0
9211,Ycr0GiZr0TNY,No,No,popular,False,0.0,True,1.0
11765,YkgjNIDmO8a8,Yes,Yes,adversarial,False,0.0,True,1.0
26602,Ym8wV38lf2jg,No,No,popular,False,0.0,True,1.0
26299,Yw_Utn3CwAXE,No,No,random,False,0.0,True,1.0
26026,YEUZaxaWqhwg,Yes,Yes,adversarial,False,0.0,True,1.0
25405,YQoEal_hKz4Q,No,Yes,adversarial,False,0.0,True,1.0
599,Y14ekd4nkpwc,Yes,Yes,random,False,0.0,True,1.0
27431,YI_8KqxP5xOA,No,No,popular,False,0.0,True,1.0
11373,YMTaLknnq4wc,Yes,No,adversarial,False,0.0,True,1.0
12970,YlYhwCRX2wNc,No,No,random,False,0.0,True,1.0
17271,YlTJLvSvjUZk,No,No,adversarial,False,0.0,True,1.0
23059,YXz56Q2Q5j5c,Yes,Yes,random,False,0.0,True,1.0
1035,YArHiac57pVk,Yes,Yes,popular,False,0.0,True,1.0
1003,Y4IeDBwyQ9ZQ,No,Yes,popular,False,0.0,True,1.0
25033,YPRUfwpmYwJ8,No,No,random,False,0.0,True,1.0
15611,YZNEZLlDVgrE,Yes,Yes,random,False,0.0,True,1.0
4843,Yl5KdHAWwJCw,Yes,No,adversarial,False,0.0,True,1.0
347,YyL3gKa6YLoM,No,Yes,adversarial,False,0.0,True,1.0
17974,YynHdcJ9Oqaw,No,No,popular,False,0.0,True,1.0
9458,Yh0M4RS8p_mo,Yes,Yes,popular,False,0.0,True,1.0
29961,YMVGhC-xB79s,Yes,Yes,adversarial,False,0.0,True,1.0
26302,YEUZaxaWqhwg,Yes,Yes,popular,False,0.0,True,1.0
9071,Yktc_tJxw8sc,No,Yes,popular,False,0.0,True,1.0
25304,Yj_NSuPnx5LA,Yes,Yes,random,False,0.0,True,1.0
13638,YGkb4f6yodPE,Yes,Yes,random,False,0.0,True,1.0
27234,YtwFypUcdgRc,No,Yes,adversarial,False,0.0,True,1.0
9032,YdP5DbAzTl5M,Yes,No,adversarial,False,0.0,True,1.0
23683,Y4pv3w--cRrA,No,Yes,random,False,0.0,True,1.0
10701,Ye4ph6bIC5zc,Yes,Yes,adversarial,False,0.0,True,1.0
21897,Y8IdCiapDYCU,Yes,No,popular,False,0.0,True,1.0
16710,YkHIe4CfaccQ,Yes,Yes,random,False,0.0,True,1.0
4661,YQHfyKaOHSz4,No,No,adversarial,False,0.0,True,1.0
10126,Y3RultJjvTWI,No,Yes,popular,False,0.0,True,1.0
18055,Ygf6H_MWCqjw,No,Yes,random,False,0.0,True,1.0
23043,YCMNlIW6Lkwc,No,No,popular,False,0.0,True,1.0
388,YLbken4JCr94,Yes,No,popular,False,0.0,True,1.0
11381,Yr2djvq1vc68,Yes,Yes,random,False,0.0,True,1.0
23718,Y1wW0YJQ-Xa0,Yes,Yes,popular,False,0.0,True,1.0
6923,YuJzAf4PaExI,No,Yes,random,False,0.0,True,1.0
28547,Y4CAMv5nlr-0,No,No,adversarial,False,0.0,True,1.0
16629,YBzHTqyX69pI,No,No,popular,False,0.0,True,1.0
705,YuhSDBwVrEdo,Yes,No,popular,False,0.0,True,1.0
2551,YRNBoH2LHQEM,No,No,popular,False,0.0,True,1.0
7408,Y59VP93Tzjmg,No,No,random,False,0.0,True,1.0
11784,Y_GI7meqlYZk,No,No,random,False,0.0,True,1.0
14056,YSNIaYhri76w,Yes,No,random,False,0.0,True,1.0
0,Y7fmOlUlwoNg,Yes,No,adversarial,False,0.0,True,1.0
26383,YtwFypUcdgRc,No,Yes,random,False,0.0,True,1.0
4121,Y3IguMJkqpl4,Yes,Yes,random,False,0.0,True,1.0
22329,YRk-ujWKzPuc,No,Yes,adversarial,False,0.0,True,1.0
12094,YsTMKled6Q1M,Yes,No,popular,False,0.0,True,1.0
14845,YrtgVoZCcBw8,No,No,adversarial,False,0.0,True,1.0
2606,Yific_gRalg0,No,No,adversarial,False,0.0,True,1.0
29537,YAf4a-9rcnP0,No,Yes,adversarial,False,0.0,True,1.0
16413,Y7WkB6pflr6o,Yes,Yes,random,False,0.0,True,1.0
12932,YdZDgJzGtLLU,Yes,No,popular,False,0.0,True,1.0
26598,YK8-b0VtNOqA,Yes,Yes,random,False,0.0,True,1.0
10446,YNDaVSIJaXVs,No,No,popular,False,0.0,True,1.0
24661,YS8k47ME-YT4,No,Yes,adversarial,False,0.0,True,1.0
4916,YLs2vrr9TamU,Yes,Yes,random,False,0.0,True,1.0
8704,YIvg_q4t-3w0,Yes,Yes,popular,False,0.0,True,1.0
26337,YhqPBcvex1VU,No,No,popular,False,0.0,True,1.0
7356,Ykdflh3akyH8,No,Yes,adversarial,False,0.0,True,1.0
3589,YHZ9O6sc7cLA,No,Yes,popular,False,0.0,True,1.0
2587,YpaetCbEqp2w,Yes,No,popular,False,0.0,True,1.0
20020,Y096oTVzc5Gs,Yes,No,adversarial,False,0.0,True,1.0
25565,Y1Og2TJ3bXW0,Yes,Yes,popular,False,0.0,True,1.0
22659,YFeHndzYAUkg,Yes,No,popular,False,0.0,True,1.0
22026,YU5ij0M7T-hk,Yes,Yes,adversarial,False,0.0,True,1.0
19221,Y_z-bidQYVao,No,No,popular,False,0.0,True,1.0
5227,YgQMTOKsCIyk,No,No,popular,False,0.0,True,1.0
26125,YEfk5kdn9lR8,No,Yes,adversarial,False,0.0,True,1.0
20938,YWUyeFOyKIg0,Yes,Yes,adversarial,False,0.0,True,1.0
6192,Y-DmjkgWa-rw,No,No,adversarial,False,0.0,True,1.0
19050,YsbW7XwwUtSU,No,No,random,False,0.0,True,1.0
9589,YE3Q1jfTeuWs,No,No,adversarial,False,0.0,True,1.0
7934,Y3VHpLxtd498,Yes,Yes,popular,False,0.0,True,1.0
23590,YQRtuOWWya30,Yes,Yes,random,False,0.0,True,1.0
18531,Y7XUt6sQS7nM,No,Yes,random,False,0.0,True,1.0
29408,Y8o-Y4QP8LWs,No,No,random,False,0.0,True,1.0
1040,YBZCEDkx37rI,No,Yes,random,False,0.0,True,1.0
20944,YD4s5aHrsBgs,Yes,Yes,popular,False,0.0,True,1.0
26351,Yorgwzt45ojE,Yes,Yes,random,False,0.0,True,1.0
12827,YTtRtURWVYBE,Yes,No,popular,False,0.0,True,1.0
14895,YVOXl8iR-HnI,Yes,No,adversarial,False,0.0,True,1.0
13846,Y4_DjmCg8Ra8,No,No,popular,False,0.0,True,1.0
4858,YXf5LjaE_JQ0,Yes,Yes,popular,False,0.0,True,1.0
417,Y_xylo5_IiaM,No,No,adversarial,False,0.0,True,1.0
13084,YbAqgL5dCQOE,No,Yes,popular,False,0.0,True,1.0
1856,YYEYeQ0lIkBQ,Yes,Yes,popular,False,0.0,True,1.0
29362,Y4bUL_ttiOdw,Yes,No,popular,False,0.0,True,1.0
5944,YKtinboYbmHQ,Yes,Yes,random,False,0.0,True,1.0
22715,YZ7yDwpdGelM,No,Yes,adversarial,False,0.0,True,1.0
5648,YLKhokVsJhN0,No,No,popular,False,0.0,True,1.0
19666,YsbW7XwwUtSU,No,No,adversarial,False,0.0,True,1.0
23019,YKJhGuhNHToA,No,No,adversarial,False,0.0,True,1.0
17889,Y2a6GNu6uCDE,Yes,Yes,popular,False,0.0,True,1.0
7119,Y2t82STv2GR8,No,No,random,False,0.0,True,1.0
9395,YJZloTOdIY_c,Yes,No,popular,False,0.0,True,1.0
26199,YZTYAQBnU4GM,No,No,adversarial,False,0.0,True,1.0
7685,Yjf4iyQPJSvk,Yes,Yes,random,False,0.0,True,1.0
29249,YQTSKjweEWew,No,Yes,random,False,0.0,True,1.0
5052,YqF72bT878gw,Yes,Yes,random,False,0.0,True,1.0
14157,Y86dNVnTwH6U,Yes,Yes,random,False,0.0,True,1.0
9903,Yy3-M1sonh3M,No,No,popular,False,0.0,True,1.0
5514,Y_duNX6Vyd6g,Yes,Yes,random,False,0.0,True,1.0
19952,YESjMIqrvRj4,No,Yes,adversarial,False,0.0,True,1.0
65,Y6BJ455B1aAs,No,No,adversarial,False,0.0,True,1.0
2256,YCO6-i8NLbeo,No,Yes,adversarial,False,0.0,True,1.0
20085,YAUmY0YRAFQE,No,No,adversarial,False,0.0,True,1.0
4096,YAtkD-3GjXMw,No,No,popular,False,0.0,True,1.0
17606,Yq3SEOW2m4WY,Yes,No,popular,False,0.0,True,1.0
2289,YEzWEO2WD_MM,No,No,random,False,0.0,True,1.0
13767,YZsTZ7jqbd9M,No,Yes,random,False,0.0,True,1.0
20186,YH7-orYrKBeo,Yes,Yes,adversarial,False,0.0,True,1.0
19167,YnLZeG9LaLgw,Yes,Yes,popular,False,0.0,True,1.0
24345,YBn4lc01q9vE,No,Yes,adversarial,False,0.0,True,1.0
26672,YBUAPM4D3-h8,Yes,Yes,random,False,0.0,True,1.0
20105,Y83j4GgHXTLE,No,No,random,False,0.0,True,1.0
28724,YAI1OweEW8C0,No,No,popular,False,0.0,True,1.0
1076,YqZEIs6tS5vk,No,Yes,popular,False,0.0,True,1.0
7654,Y6cS0FsUM-cQ,Yes,No,adversarial,False,0.0,True,1.0
17460,YlfAFQ0-wDJU,Yes,Yes,popular,False,0.0,True,1.0
4448,YSE_3nszEw7o,Yes,Yes,random,False,0.0,True,1.0
30671,YJhGp7HmRQxg,No,No,adversarial,False,0.0,True,1.0
9966,YARFFw0e_jig,Yes,No,adversarial,False,0.0,True,1.0
17572,Y5xC4hkAWiao,No,No,random,False,0.0,True,1.0
25613,YLP_DzNUkAKY,Yes,Yes,adversarial,False,0.0,True,1.0
30131,Y-Sz4z0QwEuM,No,Yes,random,False,0.0,True,1.0
27394,Y350OCezayrk,No,Yes,adversarial,False,0.0,True,1.0
28792,Yt3VFlDiEKgY,Yes,No,adversarial,False,0.0,True,1.0
30808,Yo7jW6Suyfbs,Yes,No,popular,False,0.0,True,1.0
7076,Yu8bQf0SnCVI,No,No,popular,False,0.0,True,1.0
29294,YlrKGCtSsAkA,Yes,Yes,adversarial,False,0.0,True,1.0
12331,Y5iTRKJqUIw8,Yes,Yes,popular,False,0.0,True,1.0
26854,Y3hzy-FL24no,Yes,Yes,random,False,0.0,True,1.0
10923,YAKHZMg9ba30,Yes,No,popular,False,0.0,True,1.0
20734,YD4s5aHrsBgs,Yes,No,adversarial,False,0.0,True,1.0
23896,Yk1QxQ4jJaEQ,Yes,Yes,random,False,0.0,True,1.0
11793,YQKHpSAAjakY,Yes,No,popular,False,0.0,True,1.0
15990,YTSnq6n8tElo,Yes,Yes,random,False,0.0,True,1.0
4458,YTQr9v-PQOc4,Yes,No,popular,False,0.0,True,1.0
7389,YJQz40TkjymY,Yes,Yes,popular,False,0.0,True,1.0
715,YYQGW5AwDOIo,No,Yes,popular,False,0.0,True,1.0
22424,Ym_NCf-q4Gn0,Yes,Yes,popular,False,0.0,True,1.0
9856,YNDaVSIJaXVs,No,No,random,False,0.0,True,1.0
6474,YJon_DEFqsfM,Yes,Yes,random,False,0.0,True,1.0
11880,YkgjNIDmO8a8,Yes,Yes,popular,False,0.0,True,1.0
5381,YqF72bT878gw,Yes,Yes,popular,False,0.0,True,1.0
27599,Y4ftDFi4684Y,No,No,adversarial,False,0.0,True,1.0
3956,YjOYvIISk--4,Yes,Yes,popular,False,0.0,True,1.0
8473,YBL8ksJ0sTXk,No,Yes,adversarial,False,0.0,True,1.0
13800,Yb1PXsfgQw5w,No,No,adversarial,False,0.0,True,1.0
10775,YAMQei29haCw,No,Yes,adversarial,False,0.0,True,1.0
4132,Y6Nvu6EcpdE8,Yes,Yes,popular,False,0.0,True,1.0
25113,Y0On6-JiVwRs,No,No,adversarial,False,0.0,True,1.0
8232,Y1PvMtRIlZNI,Yes,No,adversarial,False,0.0,True,1.0
26899,YmSF_FqBtRPs,No,No,random,False,0.0,True,1.0
27602,YeYbFtxZmKL4,Yes,Yes,adversarial,False,0.0,True,1.0
30474,YkLYCjD6vWI4,Yes,No,popular,False,0.0,True,1.0
26317,Ym8wV38lf2jg,No,Yes,adversarial,False,0.0,True,1.0
29021,YXWw7ZM1c_QA,Yes,No,random,False,0.0,True,1.0
17354,Yi2yhbckq3p0,No,Yes,popular,False,0.0,True,1.0
12131,YvEWmHtiznF8,No,Yes,popular,False,0.0,True,1.0
21940,YDn3buZWMzwY,No,Yes,popular,False,0.0,True,1.0
2182,Y9U8COLzEegs,Yes,No,popular,False,0.0,True,1.0
3739,YjOYvIISk--4,Yes,Yes,random,False,0.0,True,1.0
14981,Y4_Cak7gvly4,Yes,No,adversarial,False,0.0,True,1.0
19314,Ycz0FSQDVBMw,Yes,Yes,popular,False,0.0,True,1.0
14982,YrtgVoZCcBw8,No,No,popular,False,0.0,True,1.0
22148,Y0yETgW44MZU,Yes,Yes,random,False,0.0,True,1.0
27231,YDjKGzOe_COc,Yes,Yes,random,False,0.0,True,1.0
25596,Yq1ivQ_2fddk,No,No,random,False,0.0,True,1.0
20778,YFXdoNvmrYxo,Yes,Yes,random,False,0.0,True,1.0
7901,Yj0KvrVE_Oww,Yes,No,random,False,0.0,True,1.0
24713,Y7RMpCCkQks0,No,Yes,random,False,0.0,True,1.0
8158,YHVz-FJBf_iM,Yes,No,adversarial,False,0.0,True,1.0
26195,Y3qTL7QRk-tg,No,Yes,random,False,0.0,True,1.0
18545,Ycz0FSQDVBMw,Yes,Yes,random,False,0.0,True,1.0
30043,Y-JP1GqPEKtw,Yes,Yes,random,False,0.0,True,1.0
19895,Y9dLLsZVRSZI,No,No,random,False,0.0,True,1.0
