entry_id,audio_index,label,response,correct,mean_angle,std_angle,angle_count,sampling_method,vsv_lambda
23495,YA0E_UiD-fR4,No,Yes,False,86.75502926111221,5.981885082761265,64,popular,0.05
2096,Ya0yXS7PmVR0,Yes,Yes,True,84.59912888209026,5.39383132156317,96,random,0.05
10415,YjXkLS_QzUrI,No,No,True,88.00173624356587,3.3516374180473933,96,random,0.05
22150,YL6rnV0oNIII,Yes,Yes,True,89.12149047851562,5.273222780777678,96,popular,0.05
22958,Y0Dt-pH0pW-Y,Yes,No,False,87.50083462397258,3.646744768832979,96,adversarial,0.05
1040,YBZCEDkx37rI,No,Yes,False,86.75573325157166,5.830937825398631,96,random,0.05
7953,YOTLtzk0W4zg,No,No,True,85.07166290283203,5.59160969150452,96,popular,0.05
26962,YtdpiXW68adA,No,No,True,85.39509685834248,5.424954636089073,96,popular,0.05
23612,YCMUuelJFJ7Q,Yes,Yes,True,85.81748835245769,4.560521398965989,96,popular,0.05
15808,YGIOApFAWDOc,Yes,No,False,86.43243519465129,4.304282440054388,96,adversarial,0.05
10384,YPg2cWEnEEvc,No,No,True,86.45011047522227,5.758846423246755,96,popular,0.05
23769,YBOB65Nd0pXo,No,No,True,85.95986493428548,4.247547200963723,96,popular,0.05
8729,YU90e2P9jy30,Yes,No,False,85.1190288066864,5.259514237966634,64,adversarial,0.05
14114,YC_ga5m6nOhI,Yes,Yes,True,85.06175184249878,5.882709312856289,64,adversarial,0.05
21197,YHqndxoujCYI,No,Yes,False,85.5563793182373,5.930515800751871,96,random,0.05
30955,YeXj9OAik5cc,Yes,Yes,True,86.09696936607361,5.9093264829360415,96,adversarial,0.05
4618,Yl5KdHAWwJCw,Yes,Yes,True,87.56631898880005,3.522788003318128,64,random,0.05
26434,Y6pssFJ0m-kU,Yes,Yes,True,86.39398042360942,4.525827766416426,96,random,0.05
11003,YyVjivgsU2aA,No,No,True,87.39953931172688,3.9007865969790103,96,random,0.05
22192,Y67BsqRkh-dU,No,No,True,84.85135320822398,3.885357730791567,96,random,0.05
27503,Y6ukYSXzfEgQ,Yes,Yes,True,87.09305421511333,3.5047965958466833,96,random,0.05
22054,YCbe2B6ohBpw,No,No,True,88.24863147735596,4.17271483051233,96,adversarial,0.05
20466,YTaQKhIRwii4,Yes,No,False,83.59767285982768,6.221667012153367,96,popular,0.05
18237,YXamQAY_WXRY,No,Yes,False,88.12073802947998,3.0841686639706025,96,random,0.05
22332,YKnsKf9KoNds,Yes,Yes,True,87.3937338590622,5.20965820415458,64,random,0.05
23307,Y9MgGaTbmc6g,No,No,True,86.71987736225128,4.64304081239063,96,random,0.05
23256,Y9vZDsGjyh5M,Yes,Yes,True,87.25549626350403,4.055070013372087,96,random,0.05
10231,Y9BukzlPNqC8,No,Yes,False,85.94565431276958,3.907785353672929,96,adversarial,0.05
27055,YB3O476LeuXY,No,Yes,False,83.489293217659,6.05829150918282,64,adversarial,0.05
28404,Y1WTSW96XP6E,Yes,No,False,84.69392538070679,5.504966933193781,96,adversarial,0.05
26299,Yw_Utn3CwAXE,No,Yes,False,87.19705152511597,5.719283726398533,96,random,0.05
14376,YtxeXrpoMST4,No,Yes,False,85.47641054789226,4.1337098901855684,96,popular,0.05
23152,YLBe33dw9ezg,No,No,True,85.09988864262898,5.277468079940992,96,popular,0.05
20968,YQt0_xTadAT0,No,Yes,False,85.7207190990448,7.073082484309207,96,adversarial,0.05
25822,YpHYkWkZ4guE,No,Yes,False,87.3421620130539,4.2801932283155875,64,random,0.05
25325,YEfk5kdn9lR8,No,Yes,False,85.31107910474141,7.136601528683462,96,random,0.05
18375,YZY4aGEniU_E,No,Yes,False,83.58085711797078,7.0905848253315344,96,popular,0.05
10322,Y9BukzlPNqC8,No,No,True,85.99402940273285,5.1304432253166015,64,popular,0.05
27035,YOt0bN_hz2ec,Yes,Yes,True,86.16305387020111,5.292500254778363,64,random,0.05
946,YqeSl7YZAfs4,Yes,Yes,True,83.77156329154968,7.236049485529777,64,adversarial,0.05
1068,YFR7BDRhMATo,Yes,Yes,True,88.23512697219849,4.094933434885775,64,random,0.05
4763,YbX2vDaHL26U,No,Yes,False,86.96401365598042,4.104398642599622,96,adversarial,0.05
14451,YZsTZ7jqbd9M,No,Yes,False,85.40263879299164,5.243880221187245,64,popular,0.05
27542,Y1IoHRTUp86c,No,Yes,False,84.31934821605682,5.622376089424517,64,adversarial,0.05
29894,Y4UPOUGVMlEs,Yes,No,False,87.08046154181163,4.9935460530906095,96,adversarial,0.05
30599,YOFVzrakJhbw,Yes,No,False,87.39856179555257,3.982489345777342,96,popular,0.05
29452,YOFVzrakJhbw,Yes,Yes,True,86.13869524002075,5.43303310291651,96,random,0.05
30005,YndxkSQKxaak,No,No,True,86.03329356511433,3.8298592597750662,96,popular,0.05
16948,Y7WkB6pflr6o,Yes,Yes,True,87.73441004753113,2.594656275247112,96,adversarial,0.05
7478,Yvigslb0kClE,Yes,Yes,True,89.43280494213104,4.984355941264511,64,adversarial,0.05
10962,YAJtNitYMa1I,Yes,Yes,True,85.8362021446228,6.363262826823275,64,adversarial,0.05
26116,Yj_NSuPnx5LA,Yes,No,False,86.62800820668538,3.669385777591791,96,adversarial,0.05
4448,YSE_3nszEw7o,Yes,Yes,True,84.70706534385681,8.017638376280372,64,random,0.05
26602,Ym8wV38lf2jg,No,No,True,85.83106303215027,4.051347348617709,96,popular,0.05
27765,YmSF_FqBtRPs,No,No,True,86.11878140767415,5.501776725556035,96,adversarial,0.05
13304,Yt1hj7se76wQ,Yes,No,False,88.41908899943034,4.066870349792242,96,popular,0.05
2178,YCO6-i8NLbeo,No,Yes,False,87.81268155574799,7.01981857701151,64,random,0.05
15997,Y5G6b_QWL3nY,No,No,True,84.74977417786916,5.041998217402456,96,popular,0.05
7102,Y2ErfX6ZT5pM,No,Yes,False,84.7819813489914,6.7085063136251595,64,adversarial,0.05
9071,Yktc_tJxw8sc,No,Yes,False,86.4990685780843,4.674637949534779,96,popular,0.05
18729,Y5YzNSjmZ3Wg,No,No,True,86.15959080060323,5.091272724122989,96,random,0.05
16847,YwBs02amFGXs,Yes,No,False,88.29398274421692,3.1126791941751364,96,adversarial,0.05
4916,Yl5KdHAWwJCw,Yes,No,False,86.7189069588979,3.6572439592859785,96,popular,0.05
14847,Y86dNVnTwH6U,Yes,Yes,True,85.84046252568562,3.7274780728322465,96,popular,0.05
16101,YPTyFYxXdut4,No,Yes,False,88.12129473686218,3.1863633053443134,96,random,0.05
12864,YC8kR19NvynA,Yes,Yes,True,82.70369338989258,8.575062740324423,64,random,0.05
14827,Y1OyEgzXCkYE,No,No,True,86.25911859671275,5.8214204827397875,96,popular,0.05
18645,YfBYDJWChe5c,No,Yes,False,87.42347311973572,4.582845924694631,64,random,0.05
6501,Y4KObP7cREWw,No,Yes,False,87.20241006215413,3.3531087751113784,96,adversarial,0.05
28296,Y0AsXkZkqelg,No,No,True,86.12672297159831,5.2177961223283695,96,adversarial,0.05
23590,YQRtuOWWya30,Yes,Yes,True,85.0898472070694,4.796719622489848,64,random,0.05
20434,YUAmDLPjNyMg,Yes,Yes,True,86.92754491170247,3.6196034727630653,96,random,0.05
5281,Y1GgEpRZDWN0,No,Yes,False,83.43295550346375,5.9590405243325515,64,adversarial,0.05
22719,Yne2DpKCIr4Y,No,No,True,86.74144101142883,4.3138396620014765,96,popular,0.05
2943,Yu9px4Lwv9XI,No,No,True,89.33571481704712,3.017481778791525,96,adversarial,0.05
29326,YkLYCjD6vWI4,Yes,Yes,True,86.49879860877991,3.7380781840854493,96,random,0.05
8886,YMPLZUg89y5U,Yes,Yes,True,85.99281811714172,4.654055333710737,64,popular,0.05
26225,Ysl_Pxpc7beo,Yes,Yes,True,88.09937063852946,3.7856186806748298,96,random,0.05
11984,YsTMKled6Q1M,Yes,No,False,88.37364435195923,3.6928303360858075,96,adversarial,0.05
22085,YCMNlIW6Lkwc,No,Yes,False,86.99661803245544,6.326053973282809,64,random,0.05
14425,YQOmV7O9mFwg,Yes,Yes,True,86.24211160341899,3.887171650246662,96,popular,0.05
347,YyL3gKa6YLoM,No,Yes,False,85.58406627178192,4.3286418563839115,64,adversarial,0.05
6202,Y35b9BSmN5JM,Yes,Yes,True,85.49668431282043,6.216952972317355,64,random,0.05
11199,YxQDq3A4Zfbo,No,No,True,87.55708424250285,3.0501860221219133,96,popular,0.05
5913,Y-DmjkgWa-rw,No,No,True,87.31238468488057,6.078344036441819,96,random,0.05
9717,Yd6gu2w19YQo,No,Yes,False,88.36906552314758,3.2961114063921126,96,random,0.05
15706,Y2EsxcKe1A4w,No,Yes,False,87.03321409225464,6.207673693552638,64,adversarial,0.05
11831,YLB6CZ0x-kns,No,Yes,False,87.49449976285298,3.5854912550346913,96,random,0.05
565,YPLHXGDnig4M,Yes,No,False,87.25792455673218,3.4384970268473025,96,adversarial,0.05
9515,Yz4MeV9IGVo0,No,Yes,False,85.32042249043782,4.403341930910936,96,popular,0.05
27170,Y8ZH_PoK0clI,Yes,Yes,True,85.87540602684021,6.8270718063898945,64,popular,0.05
18711,YeJCaRgf1M20,Yes,No,False,87.56081453959148,3.741695519109672,96,adversarial,0.05
31315,YbhlhcGONisM,No,Yes,False,83.66733326911927,6.062179462582202,320,popular,0.05
25097,Y6ZwYgzcN6Is,Yes,Yes,True,87.90865290164948,2.5530599619735344,64,adversarial,0.05
18751,Ye6jSpvTvfJ0,Yes,Yes,True,86.48348736763,3.6347213418711117,96,popular,0.05
26301,YrvtA7c1I4xo,Yes,Yes,True,89.56996464729309,6.145835645559058,64,random,0.05
3053,YfGGYeXR_LS8,Yes,Yes,True,83.2282605568568,6.998778621313287,96,random,0.05
22184,Y-mb4Fw4Z0xg,No,Yes,False,86.2341525554657,5.97047253335175,96,adversarial,0.05
12145,Y7XXSOzDQ2z0,No,No,True,87.47342749436696,6.668462392224313,96,random,0.05
10287,YbIiiIo20PsY,Yes,No,False,85.84963575998943,5.4072545258140625,96,adversarial,0.05
8915,YfrOqlk0Wm5Y,No,Yes,False,86.47247266769409,4.879745077292902,96,random,0.05
27321,YtNxfdAd14qE,No,Yes,False,87.5357803106308,3.736948858236628,64,random,0.05
21501,YhiJB_95IWiE,No,Yes,False,85.74051872889201,4.209107652740979,96,adversarial,0.05
27081,YG0IsabU5hn4,Yes,No,False,87.81522623697917,3.2689418421423486,96,adversarial,0.05
25405,YFc9pG54DDJM,Yes,Yes,True,84.04309344291687,6.914418463029471,64,random,0.05
22241,YLBe33dw9ezg,No,Yes,False,86.47637677192688,3.899939878227012,96,random,0.05
27087,YHkbCUN4V3TU,No,Yes,False,87.22265946865082,3.1885279256435086,64,random,0.05
9493,Y-NrFeH-kBSM,Yes,Yes,True,85.16108957926433,5.558428217576659,96,adversarial,0.05
77,YGOD8Bt5LfDE,Yes,Yes,True,87.30784237384796,3.4733592408662566,64,adversarial,0.05
7076,Yu8bQf0SnCVI,No,Yes,False,85.89320123195648,5.556333550359611,64,popular,0.05
23641,YNmmbNqmsPaY,No,Yes,False,85.09131896495819,6.3876305740276305,64,popular,0.05
14777,YUV1kdjwpy6U,No,No,True,84.58588337898254,7.75306335690699,96,random,0.05
245,YYNDKuNINDOY,Yes,Yes,True,87.08101725578308,4.244232349422142,96,adversarial,0.05
18877,YWCYfCfW9NA0,Yes,No,False,86.85280466079712,3.796066239068055,96,adversarial,0.05
29213,YDAN1t9ukkg0,Yes,No,False,86.86002119382222,3.072573140973453,96,popular,0.05
30514,Ylq9RvAA4mqY,No,Yes,False,84.65886688232422,4.815764279981984,96,adversarial,0.05
6566,Y4KObP7cREWw,No,Yes,False,85.26220285892487,5.446144012396239,64,popular,0.05
580,YZ0IrCa4MvOA,No,Yes,False,85.90463789304097,4.412790802507783,96,adversarial,0.05
17888,YNlKlRKz8OKI,No,Yes,False,86.229705452919,4.432941863928164,64,random,0.05
6174,Y4KObP7cREWw,No,Yes,False,87.97143356005351,3.2792434407110207,96,random,0.05
802,YgbtcDoh0q3c,No,Yes,False,85.16608810424805,5.092553313920464,64,adversarial,0.05
23862,YtJhVH3VIrnE,Yes,Yes,True,88.37703824043274,4.609030487356328,96,popular,0.05
4215,YB4SZwi9Ce3o,No,Yes,False,86.38192188739777,4.359031624846023,64,popular,0.05
20733,YP12nvSpKXcs,No,Yes,False,86.82346852620442,6.491922458452225,96,popular,0.05
22427,YCBwXKOpJY_o,Yes,Yes,True,82.9238299926122,7.439675398089996,96,random,0.05
12946,Y8b9z7N25DmU,No,Yes,False,86.05486869812012,4.155042110157937,96,popular,0.05
6633,YXIooZl1QdM4,Yes,Yes,True,86.26622688770294,5.05600211315867,64,random,0.05
8383,YzEM94PH29VQ,No,No,True,86.63480281829834,5.749295127839059,96,random,0.05
10684,YYk274Wr5iIE,Yes,No,False,86.62377850214641,4.828898378705607,96,popular,0.05
6249,YrUq4w4EUSWA,No,Yes,False,86.03695011138916,4.86099856893747,96,adversarial,0.05
1338,YdlsiellSFf0,No,Yes,False,87.23757457733154,6.682034095355969,96,random,0.05
5734,Ypgq2KPX5_SA,Yes,Yes,True,85.63775245348613,4.227022607078981,96,random,0.05
26882,YtB8TiiXwKmA,Yes,No,False,84.48783775170644,5.82918457187438,96,popular,0.05
11576,YKel-hfZ_9h8,Yes,Yes,True,87.37514340877533,3.0077448787085492,64,popular,0.05
12214,YlHh0SwUhP8U,Yes,Yes,True,86.03359079360962,5.694114882833012,96,random,0.05
24363,YlX3k5p2I_g0,Yes,Yes,True,86.24135661125183,3.922377060132467,64,popular,0.05
17974,YynHdcJ9Oqaw,No,No,True,87.52320424715678,3.2757601372142986,96,popular,0.05
9707,Y7-HCqJFwHoI,Yes,Yes,True,83.68641316890717,7.922524044477677,64,random,0.05
25458,Y27HIamF8pKo,No,Yes,False,86.5980490843455,4.704078333092518,96,popular,0.05
22727,YjinJkonlrWc,Yes,Yes,True,82.7065926194191,7.714879918032697,64,random,0.05
23403,YjinJkonlrWc,Yes,Yes,True,83.40711450576782,6.063351830782821,96,adversarial,0.05
3247,Y-NsC63dA01g,No,Yes,False,85.4137266476949,5.633505808334422,96,popular,0.05
14595,YaMhu5eMQAsI,No,Yes,False,87.36986196041107,2.988317138796645,64,random,0.05
19728,YkagkXkAVPNo,No,Yes,False,88.10649339358012,3.3926559351517063,96,adversarial,0.05
4458,YTQr9v-PQOc4,Yes,No,False,85.82787108421326,5.614610290575993,96,popular,0.05
31000,YJhGp7HmRQxg,No,Yes,False,86.3953190644582,6.6099591824209245,96,popular,0.05
15975,YrBUCIK8JRLg,No,Yes,False,85.95466268062592,4.466782096637302,96,random,0.05
30383,Y7upINC4seBw,No,Yes,False,86.34324264526367,3.3947560338267464,96,adversarial,0.05
20354,YAxd__X2rixk,Yes,No,False,86.49177583058675,4.559395052698278,96,adversarial,0.05
7934,Y3VHpLxtd498,Yes,Yes,True,87.5471642812093,2.792798961896943,96,popular,0.05
12595,YMj_BO-iK1G4,No,No,True,85.66843914985657,4.0801121898553365,96,popular,0.05
12425,YCYUlLTKoa1Y,No,Yes,False,83.99483799934387,5.611233850416942,96,adversarial,0.05
29220,YJdFmMw0zyKA,No,No,True,85.3696878751119,5.578299424172113,96,adversarial,0.05
28634,Y9_YfTz8cnFY,Yes,Yes,True,87.22098620732625,3.2528662240301927,96,random,0.05
8366,Yj0KvrVE_Oww,Yes,Yes,True,87.78206205368042,3.717063759517582,64,popular,0.05
374,YLbken4JCr94,Yes,No,False,89.32394790649414,3.5007024219749345,96,adversarial,0.05
23493,YEcihYbSlyck,No,No,True,90.17723989486694,4.103982222998124,96,random,0.05
29752,YniwgMbB6tpQ,No,No,True,86.33812236785889,4.667378857064695,96,adversarial,0.05
25107,Y8GHLfJ6y6zA,Yes,Yes,True,82.96011734008789,5.424663064684109,64,random,0.05
14126,Y1OyEgzXCkYE,No,Yes,False,88.86828696727753,4.286342735465083,64,random,0.05
17611,YTd2EEDdFlRY,No,Yes,False,84.24432357152303,4.051836394533847,96,random,0.05
30499,YCwxgQS3SXic,No,No,True,86.26915788650513,4.191503098333504,96,popular,0.05
10842,Ydkiwn2FdDVw,No,Yes,False,83.02136301994324,8.479391779569971,64,popular,0.05
4986,YzIgGMlZENTs,Yes,Yes,True,83.32296508550644,8.094682812384441,64,random,0.05
6600,Y11SEBDuoqSk,Yes,Yes,True,85.33707559108734,7.068215528232972,64,adversarial,0.05
7509,YZsf2YvJfCKw,Yes,No,False,85.69812552134196,3.413097217577925,96,popular,0.05
4517,Y6Pywt0f_NFY,Yes,Yes,True,84.31108868122101,7.525959817375482,64,popular,0.05
15375,YIhvXtS9-IxM,Yes,Yes,True,87.40285857518514,3.880463935900134,96,adversarial,0.05
13911,Yb1PXsfgQw5w,No,No,True,85.40612864494324,6.913422863618771,96,popular,0.05
18197,Y3ue0gJM0THk,Yes,Yes,True,87.50584896405537,3.9127261658677344,96,popular,0.05
5459,YVeCSHwtkBZU,Yes,No,False,85.74218535423279,5.039008183564198,96,popular,0.05
6849,YFKaJsvcyHTk,No,Yes,False,86.97012603282928,6.522635062964587,64,popular,0.05
22994,YTOaQMYc79Mw,Yes,Yes,True,85.837344845136,6.378684511050971,96,adversarial,0.05
19421,YfBYDJWChe5c,No,No,True,87.21712136268616,3.4438511979636623,96,popular,0.05
4405,Y7P6lcyeDKNI,Yes,Yes,True,86.46903860569,4.062392362330595,64,random,0.05
16509,YhDMHIDJdfDA,No,No,True,84.45049826304118,6.587783165498787,96,popular,0.05
3773,YNeWW30WZjPc,Yes,No,False,85.84639382362366,5.7123714111380455,96,popular,0.05
12868,YlHh0SwUhP8U,Yes,No,False,87.63346314430237,4.86736569137604,96,popular,0.05
28421,YD96OO7nYYsg,Yes,Yes,True,85.76828249295552,3.8198083262181837,96,random,0.05
17140,YAR8-MVl_Mf8,No,Yes,False,87.32386660575867,5.682038447753393,64,random,0.05
15827,YQv1HXaT-28U,Yes,Yes,True,84.23352777957916,6.794346395726461,64,random,0.05
16335,YwBs02amFGXs,Yes,Yes,True,86.35316061973572,4.248772840953378,96,random,0.05
1195,YztSjcZNUY7A,Yes,Yes,True,85.65154278278351,5.307884984253567,64,random,0.05
5475,Y9BGLAUSF0sk,No,No,True,86.29102432727814,5.018082348313095,96,random,0.05
29405,YLF6x7B0Ppvo,No,Yes,False,86.36161088943481,3.7132631554543445,96,popular,0.05
5567,Y0yxEvdnimGg,Yes,Yes,True,86.00899489720662,4.917564136124698,96,popular,0.05
26735,Yi6MQCm58zlY,Yes,Yes,True,86.20607459545135,6.228796017531806,64,adversarial,0.05
17931,YbIV3bJZpkgA,Yes,Yes,True,86.10814213752747,5.630671468222971,96,popular,0.05
13033,YhV4bDCBDCy0,No,Yes,False,85.86148079236348,4.157981454569867,96,popular,0.05
1149,Yzq00Oe1ecpE,No,Yes,False,84.5191999276479,4.681649033785306,96,random,0.05
10797,YeUecAF626A8,No,Yes,False,87.77757914861043,4.1514926467132405,96,random,0.05
7702,YOmmPaIAXN0s,No,Yes,False,84.65688514709473,6.033904570008733,64,adversarial,0.05
10711,Y2RjqBRzmxaM,No,No,True,86.6566899617513,2.9853950001136207,96,random,0.05
27624,Yp_BB_rJaF7Q,Yes,Yes,True,84.46616737047832,4.755206344254661,96,popular,0.05
403,Y_xylo5_IiaM,No,Yes,False,85.26547312736511,5.27114702535951,64,popular,0.05
3624,YdYvL6uEMl6E,No,No,True,88.95121208826701,5.105622524399992,96,random,0.05
1312,YglAeihz0NAM,No,Yes,False,86.05455962816875,3.3106841178785187,96,adversarial,0.05
6083,YH7rd9bZtbgc,No,No,True,88.38952835400899,4.6046111806391075,96,popular,0.05
9104,YdP5DbAzTl5M,Yes,Yes,True,87.88072383403778,3.6891161328481523,64,popular,0.05
29475,Y--0w1YA1Hm4,No,Yes,False,86.5840695699056,3.6869299881431115,96,adversarial,0.05
23977,YOVQMFBeCHq0,No,No,True,87.99834163983662,5.633581712386224,96,popular,0.05
1151,YFR7BDRhMATo,Yes,Yes,True,88.72263010342915,3.65701791888263,96,adversarial,0.05
3658,Y7cHRSfbp7tc,No,Yes,False,85.85406267642975,6.750931993809244,64,adversarial,0.05
27789,Y5OM3tJh51pE,Yes,Yes,True,81.64753150939941,7.72896033635088,64,adversarial,0.05
15054,YVOXl8iR-HnI,Yes,No,False,87.41984971364339,3.824693544653883,96,popular,0.05
11456,YvEWmHtiznF8,No,Yes,False,87.41615688800812,3.7265280394361637,64,random,0.05
1268,YztSjcZNUY7A,Yes,Yes,True,86.39582165082295,3.6508551364907142,96,adversarial,0.05
18392,YNlKlRKz8OKI,No,Yes,False,86.82393566767375,3.5301952746373026,96,adversarial,0.05
13604,YtIM-H2rdq8U,No,No,True,85.30680521329244,6.435283870145554,96,popular,0.05
27393,YrvtA7c1I4xo,Yes,Yes,True,90.01126790046692,6.260235675037119,96,popular,0.05
3603,YJ0yeFeKvIt8,No,Yes,False,85.3179098367691,5.254926562411152,64,adversarial,0.05
17630,Yg6CY7qvu81k,Yes,Yes,True,86.01937905947368,5.668426730459839,96,adversarial,0.05
7131,YFDwK7T1JO_0,Yes,No,False,85.74637548128764,8.08892815838015,96,adversarial,0.05
13107,Y1N_DtRpdAp8,No,Yes,False,87.5430809656779,5.955002705948131,96,adversarial,0.05
30398,YETb9EIQOMAA,Yes,Yes,True,84.97299536069234,5.312411162194283,96,adversarial,0.05
11850,YWHRnyGXcdy8,Yes,No,False,87.77893455823262,5.153497339516806,96,adversarial,0.05
27717,Y4CAMv5nlr-0,No,Yes,False,86.51467235883077,4.148211083638597,96,random,0.05
24152,YW4GEwnXc9tQ,Yes,Yes,True,87.42656815052032,4.094383022007903,64,popular,0.05
9282,YxIztYnMIWUA,No,Yes,False,87.50710391998291,7.651933365120222,96,random,0.05
10923,YAKHZMg9ba30,Yes,No,False,86.42501735687256,3.5885971466175497,96,popular,0.05
25182,YDNtF_mGzQes,Yes,Yes,True,84.72777950763702,3.7398932369628937,64,popular,0.05
25348,YWUpeplQr3A4,No,Yes,False,87.82430636882782,5.84766750404854,64,adversarial,0.05
5847,YTdl9SmBbRnA,Yes,Yes,True,86.09885414441426,3.52704650178202,96,adversarial,0.05
6051,YFfUqv0Vv3ME,No,Yes,False,83.5416716337204,7.964672172926111,64,popular,0.05
21820,Y6CDl4CqOgMg,Yes,Yes,True,85.95362591743469,6.0841190990684435,64,popular,0.05
16655,Yi2yhbckq3p0,No,Yes,False,86.1138561964035,4.761099213017058,64,random,0.05
24258,YMvHpNzDpC6Q,Yes,Yes,True,85.74878263473511,4.61362165230784,96,random,0.05
13938,YeNG6fEiAE8c,Yes,Yes,True,87.10426378250122,3.15164083316015,64,random,0.05
18393,YwOFBldBFRNk,No,Yes,False,87.89493497212727,5.112952138820128,96,random,0.05
6395,Y0rSETXszQM0,No,Yes,False,85.05462110042572,6.917142400847521,64,popular,0.05
27713,YwbPmnxCLoRQ,No,No,True,88.68694225947063,4.023627958029569,96,adversarial,0.05
3850,YAtkD-3GjXMw,No,Yes,False,87.63817922274272,7.463415512937674,96,random,0.05
12462,YMj_BO-iK1G4,No,No,True,85.90144141515096,4.02220748170123,96,adversarial,0.05
12801,YdZDgJzGtLLU,Yes,Yes,True,87.61141355832417,3.7573678444820526,96,adversarial,0.05
819,YOpiWMltpj44,No,No,True,87.66495847702026,3.9618046055804026,96,random,0.05
2736,YPtW0cZVprJQ,No,Yes,False,84.24450218677521,6.5726601411967,64,adversarial,0.05
17265,YynHdcJ9Oqaw,No,Yes,False,87.71489540735881,3.6360946133786642,96,random,0.05
28094,Y_BSmz3SEW1w,No,Yes,False,85.94594621658325,5.152330696619869,96,popular,0.05
19001,YnLZeG9LaLgw,Yes,No,False,85.7080868879954,5.368379261367569,96,adversarial,0.05
6785,Ybpv_LneHmfU,No,No,True,84.31998300552368,5.234892150368719,96,popular,0.05
19666,YsbW7XwwUtSU,No,No,True,86.96721824010213,5.293167781797885,96,adversarial,0.05
26556,Y350OCezayrk,No,No,True,86.78088267644246,6.467669300479928,96,random,0.05
22184,YAFgGoY8Ihhg,Yes,No,False,88.58924214045207,3.7173618018379666,96,popular,0.05
28009,Ys_EWjoiVfzo,Yes,Yes,True,86.60228359699249,4.503605189392934,64,popular,0.05
13123,YbJMMp6PLKqM,Yes,Yes,True,83.4642505645752,7.950153592766376,64,popular,0.05
11731,YUE3XnVFodMI,Yes,Yes,True,87.0382741689682,4.551387347497408,64,adversarial,0.05
